Name,Stadt,Type,Land,Kontakt,Einwohner,Bürgermeister,Partei,Kontaktdaten,,,,,,,
LRA Bayreuth,Bayreuth,Stadt,Bayern,N,72940,Andreas Zippel,SPD,auslaenderamt@stadt.bayreuth.de,,,,,,,
LRA Coburg,Coburg,Stadt,Bayern,N,41064,Dominik Sauerteig,SPD,einwohneramt@coburg.de,,,,,,,
LRA Forchheim,Forchheim,Stadt,Bayern,N,33017,Martina Hebendanz,CDU/CSU,auslaenderamt@landkreis-emmendingen.de,,,,,,,
LRA Hof,Hof,Stadt,Bayern,N,46778,Stefan Schmalfuß,CDU/CSU,auslaenderbehoerde@stadt-hof.de,,,,,,,
LRA Kronach,Kronach,Stadt,Bayern,N,16616,#N/A,#N/A,auslaenderwesen@Lra-kc.bayern.de,,,,,,,
LRA Kulmbach,Kulmbach,Stadt,Bayern,N,26625,Ralf Hartnack,WGK,auslaenderwesen@landkreis-kulmbach.de,,,,,,,
LRA Lichtenfels,Lichtenfels,Stadt,Bayern,N,20488,#N/A,#N/A,auslaenderwesen@lkwafkb.de,,,,,,,
LRA Wunsiedel i.F.,Wunsiedel i,Stadt,Bayern,N,#N/A,#N/A,#N/A,Karl-Heinz.Leupold@landkreis-wunsiedel.de,,,,,,,
STV Ansbach,Ansbach,Stadt,Bayern,N,40742,Thomas Deffner,CDU/CSU,auslaenderamt@ansbach.de,,,,,,,
STV Erlangen,Erlangen,Stadt,Bayern,N,115928,Jörg Volleth,CDU/CSU,auslaenderbehoerde@stadt.erlangen.de,,,,,,,
STV Fürth,Fürth,Stadt,Bayern,N,132036,Thomas Jung,SPD,auslaenderamt@lra.landkreis-cham.de,,,,,,,
STV Nürnberg,Nürnberg,Stadt,Bayern,N,529508,Marcus König,CDU/CSU,abh.aufenthalt@stadt.nuernberg.de,,,,,,,
STV Schwabach,Schwabach,Stadt,Bayern,N,40835,Peter Reiß,SPD,auslaenderamt@schwabach,,,,,,,
LRA Ansbach,Ansbach,Stadt,Bayern,N,40742,Thomas Deffner,CDU/CSU,auslaenderamt@ansbach.de,,,,,,,
LRA Erlangen-Höchstadt,Erlangen-Höchstadt,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderbehoerde@stadt.erlangen.de,,,,,,,
LRA Fürth,Fürth,Stadt,Bayern,N,132036,Thomas Jung,SPD,auslaenderamt@lra.landkreis-cham.de,,,,,,,
LRA Nürnberger Land,Nürnberger Land,Stadt,Bayern,N,#N/A,#N/A,#N/A,Auslaenderbehoerde@Schwalm-Eder-Kreis.de,,,,,,,
LRA Neustadt / Bad Windsheim,Neustadt (Aisch)-Bad Windsheim,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderamt@kreis-nea.de,,,,,,,
LRA Weißenburg-Gunzenhausen,Weißenburg-Gunzenhausen,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderwesen.lra@landkreis-wug.de,,,,,,,
STV Aschaffenburg,Aschaffenburg,Stadt,Bayern,N,73091,Markus Schlemmer,CDU/CSU,buergeramt@aschaffenburg.de,,,,,,,
STV Schweinfurt,Schweinfurt,Stadt,Bayern,N,54481,Ralf Hofmann,SPD,auslaenderangelegenheiten@schweinfurt.de,,,,,,,
STV Würzburg,Würzburg,Stadt,Bayern,N,133258,Martin Heilig,Grüne,ausland@stadt.wuerzburg.de,,,,,,,
LRA Aschaffenburg,Aschaffenburg,Stadt,Bayern,N,73091,Markus Schlemmer,CDU/CSU,buergeramt@aschaffenburg.de,,,,,,,
LRA Bad Kissingen,Bad Kissingen,Stadt,Bayern,N,23223,Dirk Vogel,SPD,auslaenderbehoerde@landkreis-badkissingen.de,,,,,,,
LRA Rhön-Grabfeld,Rhön-Grabfeld,Stadt,Bayern,N,#N/A,#N/A,#N/A,abh@lra-sm.thueringen.de,,,,,,,
LRA Kitzingen,Kitzingen,Stadt,Bayern,N,22936,Enis Tiz,FW,auslaenderamt@kitzingen.de,,,,,,,
LRA Miltenberg,Miltenberg,Stadt,Bayern,N,9351,#N/A,#N/A,,,,,,,,
LRA Schweinfurt,Schweinfurt,Stadt,Bayern,N,54481,Ralf Hofmann,SPD,auslaenderangelegenheiten@schweinfurt.de,,,,,,,
ZAB Unterfranken,Unterfranken,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderbehoerde@lra-wue.bayern.de,,,,,,,
LRA Würzburg,Würzburg,Stadt,Bayern,N,133258,Martin Heilig,Grüne,ausland@stadt.wuerzburg.de,,,,,,,
STV Augsburg,Augsburg,Stadt,Bayern,N,301105,Florian Freund,SPD,aufenthalt@augsburg.de,,,,,,,
STV Kaufbeuren,Kaufbeuren,Stadt,Bayern,N,46193,Stefan Bosse,CDU/CSU,info@kaufbeuren.de,,,,,,,
STV Kempten,Kempten,Stadt,Bayern,N,67645,Christian Schoch,FW,peter.galuschka@kempten.de,,,,,,,
STV Memmingen,Memmingen,Stadt,Bayern,N,44192,Jan Rothenbacher,SPD,auslaenderamt@memmingen.de,,,,,,,
LRA Dillingen,Dillingen,Stadt,Bayern,N,21529,Frank Kunz,CDU/CSU,zab@lava.saarland.de,,,,,,,
LRA Lindau / Bodensee,Lindau,Stadt,Bayern,N,25845,Claudia Alfons,Parteilos,poststelle@landkreis-lindau.de,,,,,,,
LRA Ostallgäu,Ostallgäu,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderbehoerde@lra-oal.bayern.de,,,,,,,
LRA Unterallgäu,Unterallgäu,Stadt,Bayern,N,#N/A,#N/A,#N/A,ausland@lra.unterallgaeu.de,,,,,,,
LRA Berchtesgadener Land,Berchtesgadener Land,Stadt,Bayern,N,#N/A,#N/A,#N/A,,,,,,,,
LRA Eichstätt,Eichstätt,Stadt,Bayern,N,13891,Josef Grienberger,CDU/CSU,auslaenderwesen@lra-ei.bayern.de,,,,,,,
LRA Neuburg-Schrobenhausen,Neuburg-Schrobenhausen,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderamt@lra-nd-sob.de,,,,,,,
LRA Freyung-Grafenau,Freyung-Grafenau,Stadt,Bayern,N,#N/A,#N/A,#N/A,ordnungsamt@lrabb.de,,,,,,,
LRA Rottal-Inn,Rottal-Inn,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderamt@landkreis-frg.de,,,,,,,
LRA Straubing-Bogen,Straubing-Bogen,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderamt@straubing.de,,,,,,,
LRA Dingolfing-Landau,Dingolfing-Landau,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderamt@landkreis-dingolfing-landau.de,,,,,,,
LRA Schwandorf,Schwandorf,Stadt,Bayern,N,29877,Andreas Feller,CDU/CSU,auslaenderamt@landkreis-schwandorf.de,,,,,,,
LRA Roth,Roth,Stadt,Bayern,N,25458,Christoph Rösch,SPD,auslaenderbehoerde@bitburg-pruem.de,,,,,,,
LRA Haßberge,Haßberge,Stadt,Bayern,N,#N/A,#N/A,#N/A,abh@kreis-ni.de,,,,,,,
LRA Aichach-Friedberg,Aichach-Friedberg,Stadt,Bayern,N,#N/A,#N/A,#N/A,aufenthaltsrecht@wetteraukreis.de,,,,,,,
LRA Augsburg,Augsburg,Stadt,Bayern,N,301105,Florian Freund,SPD,aufenthalt@augsburg.de,,,,,,,
LRA Günzburg,Günzburg,Stadt,Bayern,N,21423,Michael Jahn,SPD,auslaenderamt@landkreis-guenzburg.de,,,,,,,
LRA Neu-Ulm,Neu-Ulm,Stadt,Bayern,N,62641,Katrin Albsteiger,CDU/CSU,,,,,,,,
LRA Donau-Ries,Donau-Ries,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderamt@lra-donau-ries.de,,,,,,,
LRA Oberallgäu,Oberallgäu,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderamt@lra-oa.bayern.de,,,,,,,
LfAR Bayern,Bavaria,Stadt,Bayern,N,#N/A,#N/A,#N/A,poststelle@lra-fo.de,,,,,,,
LfAR Bayern - Zentralstelle Ausländerextremismus,Bavaria,Stadt,Bayern,N,#N/A,#N/A,#N/A,poststelle@lra-fo.de,,,,,,,
Regierung von Oberbayern,von Oberbayern,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderamt@kreis-fs.de,,,,,,,
ZAB Schwaben Augsburg,Schwaben Augsburg,Stadt,Bayern,N,#N/A,#N/A,#N/A,aufenthalt@augsburg.de,,,,,,,
ZAB Oberpfalz,Oberpfalz,Stadt,Bayern,N,#N/A,Markus Ochsenkühn,CDU/CSU,Auslaenderamt@amberg-sulzbach.de,,,,,,,
LAF Berlin (ABH),Berlin,Stadt,Berlin,N,3685265,#N/A,#N/A,service@bamf.bund.de,,,,,,,
LEA Berlin,Berlin,Stadt,Berlin,N,3685265,#N/A,#N/A,service@bamf.bund.de,,,,,,,
LRA Potsdam - Mittelmark,Potsdam-Mittelmark,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,mia@rathaus.potsdam.de,,,,,,,
KRV Prignitz,Prignitz,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,auslaenderbehoerde@lkprignitz.de,,,,,,,
LKR Uckermark,Uckermark,Stadt,Brandenburg,N,4278,#N/A,#N/A,abh@dahme-spreewald.de,,,,,,,
STV Brandenburg,Brandenburg,Stadt,Brandenburg,N,74113,Daniel Keip,SPD,auslaenderbehoerde@stadt-brandenburg.de,,,,,,,
KRV Teltow-Fläming,Teltow-Fläming,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,fb2@potsdam-mittelmark.de,,,,,,,
KRV Ostprignitz - Ruppin,Ostprignitz-Ruppin,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,auslaenderbehoerde@opr.de,,,,,,,
LKR Oberhavel,Oberhavel,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,info@heidekreis.de,,,,,,,
STV Potsdam,Potsdam-Mittelmark,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,mia@rathaus.potsdam.de,,,,,,,
KRV Havelland,Havelland,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,fb2@potsdam-mittelmark.de,,,,,,,
KRV Oder-Spree,Oder-Spree,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,beratung@lea.berlin.de,,,,,,,
LKR Barnim,Barnim,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,beratung@lea.berlin.de,,,,,,,
ZABH und EAE Brandenburg,und EAE Brandenburg,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,ordnungsamt@kreis-hz.de,,,,,,,
STV Frankfurt/Oder,Frankfurt,Stadt,Brandenburg,N,756021,Mike Josef,SPD,abh@frankfurt-oder.de,,,,,,,
LKR Märkisch-Oderland,Märkisch-Oderland,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,auslaenderbehoerde@opr.de,,,,,,,
STV Schwedt,Schwedt,Stadt,Brandenburg,N,33730,#N/A,#N/A,ordnungsamt.stadt@schwedt.de,,,,,,,
StV Cottbus,Cottbus,Stadt,Brandenburg,N,95123,Tobias Schick,SPD,auslaenderbehoerde@cottbus.de,,,,,,,
LKR Elbe-Elster,Elbe-Elster,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,info@lkwf.de,,,,,,,
KRV Dahme - Spreewald,Dahme-Spreewald,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,auslaenderbehoerde@teltow-flaeming.de,,,,,,,
LKR Oberspreewald-Lausitz,Oberspreewald-Lausitz,Stadt,Brandenburg,N,#N/A,#N/A,#N/A,auslaenderbehoerde@lkee.de,,,,,,,
ZAST Bremen,Bremen,Stadt,Bremen,N,586271,#N/A,#N/A,service@bamf.bund.de,,,,,,,
STV Bremen,Bremen,Stadt,Bremen,N,586271,#N/A,#N/A,service@bamf.bund.de,,,,,,,
Freie Hansestadt Bremen,Bremen,Stadt,Bremen,N,586271,#N/A,#N/A,service@bamf.bund.de,,,,,,,
STV Bremerhaven,Bremerhaven,Stadt,Bremen,N,118610,Melf Grantz,SPD,auslaenderbehoerde@magistrat.bremerhaven.de,,,,,,,
Stadt Hamburg - BIS (Ausländerbehörde),Hamburg,Stadt,Hamburg,N,1862565,#N/A,#N/A,poststelle@amtfuermigration.hamburg.de,,,,,,,
ZAB Regierungspräsidium Kassel,Regierungspräsidium Kassel,Stadt,Hessen,N,#N/A,#N/A,#N/A,zuwanderung@kassel.de,,,,,,,
ABH Darmstadt,Darmstadt,Stadt,Hessen,N,167029,Hanno Benz,SPD,auslaenderbehoerde@darmstadt.de,,,,,,,
OB Frankfurt am Main,Frankfurt,Stadt,Hessen,N,756021,Mike Josef,SPD,abh@frankfurt-oder.de,,,,,,,
ABH Frankfurt am Main - Stadtpolizei ,Frankfurt,Stadt,Hessen,N,756021,Mike Josef,SPD,abh@frankfurt-oder.de,,,,,,,
ABH STV und KRV Kassel,STV und KRV Kassel,Stadt,Hessen,N,#N/A,#N/A,#N/A,zuwanderung@kassel.de,,,,,,,
OB Offenbach am Main,Offenbach am Main,Stadt,Hessen,N,132746,Felix Schwenke,SPD,auslaenderamt@offenbach.de,,,,,,,
OB Wiesbaden,Wiesbaden,Stadt,Hessen,N,288850,Gert-Uwe Mende,SPD,auslaenderbehoerde@wiesbaden.de,,,,,,,
STV Gießen,Gießen,Stadt,Hessen,N,89179,Frank-Tilo Becher,SPD,auslaenderbehoerde@giessen.de,,,,,,,
RP Darmstadt,Darmstadt,Stadt,Hessen,N,167029,Hanno Benz,SPD,auslaenderbehoerde@darmstadt.de,,,,,,,
LR Kreis Bergstraße,Bergstraße,Stadt,Hessen,N,27864,#N/A,#N/A,post@landkreis-heidenheim.de,,,,,,,
LK Darmstadt-Dieburg,Darmstadt-Dieburg,Stadt,Hessen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@darmstadt.de,,,,,,,
LRA Gießen,Gießen,Stadt,Hessen,N,89179,Frank-Tilo Becher,SPD,auslaenderbehoerde@giessen.de,,,,,,,
LR Kreis Groß-Gerau,Groß-Gerau,Stadt,Hessen,N,25388,#N/A,#N/A,ala@kreisgg.de,,,,,,,
LR Kreis Offenbach,Offenbach,Stadt,Hessen,N,132746,Felix Schwenke,SPD,auslaenderamt@offenbach.de,,,,,,,
LKR Fulda,Fulda,Stadt,Hessen,N,65434,Heiko Wingenfeld,CDU/CSU,auslaenderbehoerde@landkreis-fulda.de,,,,,,,
LRA Hersfeld-Rotenburg,Hersfeld-Rotenburg,Stadt,Hessen,N,#N/A,#N/A,#N/A,auslaenderamt@lk-row.de,,,,,,,
ABH Marburg-Biedenkopf (HS Marburg),Marburg-Biedenkopf (HS Marburg,Stadt,Hessen,N,#N/A,#N/A,#N/A,ordnung@marburg-stadt.de,,,,,,,
LRA Waldeck-Frankenberg,Waldeck-Frankenberg,Stadt,Hessen,N,#N/A,#N/A,#N/A,os@lrashk.thueringen.de,,,,,,,
LRA Limburg-Weilburg,Limburg-Weilburg,Stadt,Hessen,N,#N/A,#N/A,#N/A,abh@limburg-weilburg.de,,,,,,,
STV Wetzlar,Wetzlar,Stadt,Hessen,N,54665,Manfred Wagner,SPD,auslaenderbehoerde@wetzlar.de,,,,,,,
OB Hanau,Hanau,Stadt,Hessen,N,97956,Claus Kaminsky,SPD,auslaenderbehoerde@hanau.de,,,,,,,
OB Bad Homburg v. d. Hoehe,Bad Homburg,Stadt,Hessen,N,56688,Alexander Hetjes,CDU/CSU,auslaenderwesen@bad-homburg.de,,,,,,,
STV Marburg,Marburg,Stadt,Hessen,N,73544,Thomas Spies,SPD,ordnung@marburg-stadt.de,,,,,,,
OB Rüsselsheim am Main,Rüsselsheim am Main,Stadt,Hessen,N,65627,Patrick Burghardt,CDU/CSU,auslaenderbehoerde@ruesselsheim.de,,,,,,,
ZAB Gießen beim RP,Gießen beim,Stadt,Hessen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@lra-oal.bayern.de,,,,,,,
Stadtamt Hansestadt Rostock,Rostock,Stadt,Mecklenburg-Vorpommern,N,205307,Eva-Maria Kröger,Die Linke,auslaenderbehoerde@rostock.de,,,,,,,
LKR Rostock,Rostock,Stadt,Mecklenburg-Vorpommern,N,205307,Eva-Maria Kröger,Die Linke,auslaenderbehoerde@rostock.de,,,,,,,
LKR Vorpommern-Greifswald,Vorpommern-Greifswald,Stadt,Mecklenburg-Vorpommern,N,#N/A,#N/A,#N/A,auslaenderbehoerde@kreis-vg.de,,,,,,,
LKR Nordwestmecklenburg,Nordwestmecklenburg,Stadt,Mecklenburg-Vorpommern,N,#N/A,#N/A,#N/A,abh@nordwestmecklenburg.de,,,,,,,
LAiV Nostorf (ABH),Nostorf,Stadt,Mecklenburg-Vorpommern,N,#N/A,#N/A,#N/A,ordnungsamt@lkparchim.de,,,,,,,
LAiV Schwerin-Stern Buchholz (ABH),Schwerin-Stern Buchholz,Stadt,Mecklenburg-Vorpommern,N,#N/A,#N/A,#N/A,service@bamf.bund.de,,,,,,,
LAiV Schwerin-Stern Buchholz (ZAB f. d. Fachkräfteeinwanderung),Schwerin-Stern Buchholz (ZAB f. d. Fachkräfteeinwanderung,Stadt,Mecklenburg-Vorpommern,N,#N/A,#N/A,#N/A,aie@stadt-duisburg.de,,,,,,,
LKR Vorpommern-Rügen,Vorpommern-Rügen,Stadt,Mecklenburg-Vorpommern,N,#N/A,#N/A,#N/A,fd35@lk-vr.de,,,,,,,
LKR Ludwigslust - Parchim,Ludwigslust-Parchim,Stadt,Mecklenburg-Vorpommern,N,#N/A,#N/A,#N/A,ordnungsamt@lkparchim.de,,,,,,,
STV Schwerin,Schwerin,Stadt,Mecklenburg-Vorpommern,N,98308,Rico Badenschier,SPD,auslaenderbehorde@schwerin.de,,,,,,,
LKR Mecklenburg Seenplatte Neubrandenburg,Mecklenburg Seenplatte Neubrandenburg,Stadt,Mecklenburg-Vorpommern,N,#N/A,#N/A,#N/A,auslaenderbehoerde@lk-seenplatte.de,,,,,,,
LAB NI Hauptsitz,NI Hauptsitz,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,fd35@lk-vr.de,,,,,,,
LAB NI Ausländerrecht,NI Ausländerrecht,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,aufenthaltsrecht@wetteraukreis.de,,,,,,,
LAB NI Rückführung,NI Rückführung,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,aufenthaltsrecht@wetteraukreis.de,,,,,,,
STV Hameln,Hamelin,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,abh-asyl@landkreishildesheim.de,,,,,,,
LHH Hannover,Hannover,Stadt,Niedersachsen,N,522131,Belit Onay,Grüne,,,,,,,,
KRV Diepholz,Diepholz,Stadt,Niedersachsen,N,17648,#N/A,#N/A,abh@diepholz.de,,,,,,,
KRV Hameln-Pyrmont,Hameln-Pyrmont,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,zuwanderungundwohngeld@hameln.de,,,,,,,
Ausländerbehörde Region Hannover,Hanover Region,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@hannover-stadt.de,,,,,,,
KRV Nienburg/Weser,"Nienburg, Lower Saxony",Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,,,,,,,,
KRV Schaumburg,Schaumburg,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,aufenthaltsrecht@schaumburg.de,,,,,,,
STV Göttingen,Göttingen,Stadt,Niedersachsen,N,127259,Petra Broistedt,SPD,auslaenderstelle@goettingen.de,,,,,,,
STV Hildesheim,Hildesheim,Stadt,Niedersachsen,N,98510,Ingo Meyer,Parteilos,auslaenderstelle@stadt-hildesheim.de,,,,,,,
KRV Göttingen,Göttingen,Stadt,Niedersachsen,N,127259,Petra Broistedt,SPD,auslaenderstelle@goettingen.de,,,,,,,
KRV Hildesheim,Hildesheim,Stadt,Niedersachsen,N,98510,Ingo Meyer,Parteilos,auslaenderstelle@stadt-hildesheim.de,,,,,,,
KRV Holzminden,Holzminden,Stadt,Niedersachsen,N,18921,#N/A,#N/A,kreishaus@landkreis-holzminden.de,,,,,,,
LKR Northeim,Northeim,Stadt,Niedersachsen,N,27326,#N/A,#N/A,skasten@landkreis-northeim.de,,,,,,,
KRV Peine,Peine,Stadt,Niedersachsen,N,50987,#N/A,#N/A,auslaenderbehoerde@landkreis-peine.de,,,,,,,
STV Celle,Celle,Stadt,Niedersachsen,N,66834,Jörg Nigge,CDU/CSU,auslaenderstelle@celle.de,,,,,,,
Hansestadt Lüneburg,Lüneburg,Stadt,Niedersachsen,N,74785,Claudia Kalisch,Grüne,b332@stadt.lueneburg.de,,,,,,,
STV Wolfsburg,Wolfsburg,Stadt,Niedersachsen,N,129560,Dennis Weilmann,CDU/CSU,auslaenderstelle@stadt.wolfsburg.de,,,,,,,
KRV Celle,Celle,Stadt,Niedersachsen,N,66834,Jörg Nigge,CDU/CSU,auslaenderstelle@celle.de,,,,,,,
KRV Gifhorn,Gifhorn,Stadt,Niedersachsen,N,42726,#N/A,#N/A,auslaenderstelle@gifhorn.de,,,,,,,
KRV Harburg,Harburg,Stadt,Niedersachsen,N,5598,#N/A,#N/A,auslaenderamt@lra-donau-ries.de,,,,,,,
KRV Lüchow-Dannenberg,Lüchow-Dannenberg,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@kreis-rz.de,,,,,,,
KRV Uelzen,Uelzen,Stadt,Niedersachsen,N,32821,#N/A,#N/A,info@landkreis-uelzen.de,,,,,,,
STV Cuxhaven,Cuxhaven,Stadt,Niedersachsen,N,49697,Uwe Santjer,SPD,auslaenderbehoerde@cuxhaven.de,,,,,,,
KRV Osterholz,Osterholz,Stadt,Niedersachsen,N,29710,#N/A,#N/A,info@ostalbkreis.de,,,,,,,
KRV Rotenburg,Rotenburg,Stadt,Niedersachsen,N,23117,#N/A,#N/A,auslaenderamt@lk-row.de,,,,,,,
KRV Stade,Stade,Stadt,Niedersachsen,N,48633,#N/A,#N/A,ordnungsamt@landkreis-stade.de,,,,,,,
KRV Verden,Verden,Stadt,Niedersachsen,N,27121,#N/A,#N/A,abh@landkreis-verden.de,,,,,,,
STV Osnabrück,Osnabrück,Stadt,Niedersachsen,N,166057,Katharina Pötter,CDU/CSU,auslaenderbehoerde@osnabrueck.de,,,,,,,
KRV Grafschaft Bentheim,Grafschaft Bentheim,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,joerg.schubert@aw-online.de,,,,,,,
STV Lingen,Lingen,Stadt,Niedersachsen,N,56498,Dieter Krone,Parteilos,auslaenderbehoerde@lingen.de,,,,,,,
KRV Osnabrück,Osnabrück,Stadt,Niedersachsen,N,166057,Katharina Pötter,CDU/CSU,auslaenderbehoerde@osnabrueck.de,,,,,,,
STV Emden,Emden,Stadt,Niedersachsen,N,49202,Tim Kruithoff,Parteilos,buenting@emden.de,,,,,,,
KRV Aurich,Aurich,Stadt,Niedersachsen,N,42612,#N/A,#N/A,auslaenderbehoerde@landkreis-aurich.de,,,,,,,
KRV Leer,Leer,Stadt,Niedersachsen,N,34025,#N/A,#N/A,abh@lkleer.de,,,,,,,
KRV Wittmund,Wittmund,Stadt,Niedersachsen,N,20037,#N/A,#N/A,landkreis@lk.wittmund.de,,,,,,,
STV Braunschweig,Braunschweig,Stadt,Niedersachsen,N,252962,Thorsten Kornblum,SPD,auslaenderbehoerde@braunschweig.de,,,,,,,
STV Salzgitter,Salzgitter,Stadt,Niedersachsen,N,104970,Frank Klingebiel,CDU/CSU,auslaenderstelle@stadt.salzgitter.de,,,,,,,
KRV Goslar,Goslar,Stadt,Niedersachsen,N,47419,Urte Schwerdtner,SPD,auslaenderbehoerde@landkreis-goslar.de,,,,,,,
KRV Helmstedt,Helmstedt,Stadt,Niedersachsen,N,25099,#N/A,#N/A,abh@landkreis-helmstedt.de,,,,,,,
KRV Wolfenbüttel,Wolfenbüttel,Stadt,Niedersachsen,N,52604,#N/A,#N/A,info@lkwf.de,,,,,,,
STV Delmenhorst,Delmenhorst,Stadt,Niedersachsen,N,81406,Petra Gerlach,CDU/CSU,andrea.diers@delmenhorst.de,,,,,,,
STV Oldenburg,Oldenburg,Stadt,Niedersachsen,N,176614,Jürgen Krogmann,SPD,auslaenderbuero@stadt-oldenburg.de,,,,,,,
STV Wilhelmshaven,Wilhelmshaven,Stadt,Niedersachsen,N,75745,Carsten Feist,Parteilos,ralf.janssen@stadt.wilhelmshaven.de,,,,,,,
KRV Ammerland,Ammerland,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,info@lra-toelz.de,,,,,,,
KRV Cloppenburg,Cloppenburg,Stadt,Niedersachsen,N,36565,#N/A,#N/A,abh@lkclp.de,,,,,,,
KRV Friesland,Friesland,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,buenting@emden.de,,,,,,,
LKR Oldenburg,Oldenburg,Stadt,Niedersachsen,N,176614,Jürgen Krogmann,SPD,auslaenderbuero@stadt-oldenburg.de,,,,,,,
LKR Vechta,Vechta,Stadt,Niedersachsen,N,33728,#N/A,#N/A,info@landkreis-vechta.de,,,,,,,
LK Wesermarsch,Wesermarsch,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,jens.wieking@lkbra.de,,,,,,,
ABH Landkreis Cuxhaven,Cuxhaven,Stadt,Niedersachsen,N,49697,Uwe Santjer,SPD,auslaenderbehoerde@cuxhaven.de,,,,,,,
KRV Emsland,Emsland,Stadt,Niedersachsen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@ammerland.de,,,,,,,
Bezirksregierung Arnsberg,Arnsberg,Stadt,Nordrhein-Westfalen,N,74879,#N/A,#N/A,auslaenderamt@arnsberg.de,,,,,,,
ABH Stadt Elsdorf,Stadt Elsdorf,Stadt,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@marburg-biedenkopf.de,,,,,,,
STV Dormagen,Dormagen,Stadt,Nordrhein-Westfalen,N,63799,#N/A,#N/A,auslaenderamt@stadt-dormagen.de,,,,,,,
STV Wesel,Wesel,Stadt,Nordrhein-Westfalen,N,60785,#N/A,#N/A,team74@wesel.de,,,,,,,
ZAB und EAE Bielefeld,und EAE Bielefeld,Stadt,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@bielefeld.de,,,,,,,
STV Kerpen,Kerpen,Stadt,Nordrhein-Westfalen,N,66585,#N/A,#N/A,auslaenderamt@stadt-kerpen.de,,,,,,,
STV Bergheim,Bergheim,Stadt,Nordrhein-Westfalen,N,61611,#N/A,#N/A,auslaenderamt@bergheim.de,,,,,,,
StädteRegion Aachen,Aachen,Stadt,Nordrhein-Westfalen,N,262670,Michael Ziemons,CDU/CSU,auslaenderamt@staedteregion-aachen.de,,,,,,,
KRV Düren,Düren,Stadt,Nordrhein-Westfalen,N,94568,#N/A,#N/A,mail@kreis-dueren.de,,,,,,,
STV Troisdorf,Troisdorf,Stadt,Nordrhein-Westfalen,N,75901,#N/A,#N/A,rathaus@troisdorf.de,,,,,,,
KRV Heinsberg,Heinsberg,Stadt,Nordrhein-Westfalen,N,43163,#N/A,#N/A,auslaenderangelegenheiten@kreis-heinsberg.de,,,,,,,
STV Bochum,Bochum,Stadt,Nordrhein-Westfalen,N,358676,Jörg Lukat,SPD,amt33@bochum.de,,,,,,,
STV Castrop-Rauxel,Castrop-Rauxel,Stadt,Nordrhein-Westfalen,N,73282,#N/A,#N/A,alw@castrop-rauxel.de,,,,,,,
STV Dortmund,Dortmund,Stadt,Nordrhein-Westfalen,N,603462,Alexander Kalouti,CDU/CSU,auslaenderteam1@stadtdo.de,,,,,,,
STV Hagen,Hagen,Stadt,Nordrhein-Westfalen,N,190384,Dennis Rehbein,CDU/CSU,ordnungsamt@stadt-hagen.de,,,,,,,
